country_code,population,life_expectancy,hospital_beds_per_thousand,handwashing_facilities,male_smokers,female_smokers,diabetes_prevalence,cardiovasc_death_rate,extreme_poverty,gdp_per_capita,aged_70_older,aged_65_older,median_age,population_density,stringency_index
CIV,28160548.0,57.78,,19.351,,,2.42,303.74,28.2,3601.006,1.582,2.933,18.7,76.399,80.56
CMR,27914542.0,59.29,1.3,2.735,,,7.2,244.661,23.8,3364.926,1.919,3.165,18.8,50.885,71.3
COD,99010216.0,60.68,,4.472,,,6.1,318.949,77.1,808.133,1.745,3.02,17.0,35.879,80.56
COG,5970430.0,64.57,,47.964,52.3,1.7,7.2,344.094,37.0,4881.406,2.063,3.402,19.0,15.405,97.22
COK,17032.0,76.25,,,,,,,,,,,,,
COL,51874028.0,77.29,1.71,65.386,13.5,4.7,7.44,124.24,4.5,13254.949,4.312,7.646,32.2,44.223,90.74
COM,836783.0,64.32,2.2,15.574,23.6,4.4,11.88,261.516,18.1,1413.89,1.726,2.963,20.4,437.352,
CPV,593162.0,72.98,2.1,,16.5,2.1,2.42,182.219,,6222.554,3.437,4.46,25.7,135.58,87.96
CRI,5180836.0,80.28,1.13,83.841,17.4,6.4,8.78,137.973,1.3,15524.995,5.694,9.468,33.6,96.079,81.48
CUB,11212198.0,78.8,5.2,85.198,53.3,17.1,8.27,190.968,,,9.719,14.738,43.1,110.408,100.0
CUW,191173.0,78.88,,,,,11.62,,,,10.068,16.367,41.7,362.644,
CYM,68722.0,83.92,,,,,13.22,,,49903.029,,,,256.496,
CYP,896007.0,80.98,3.4,,52.7,19.6,9.24,141.171,,32415.132,8.563,13.416,37.3,127.657,94.44
CZE,10493990.0,79.38,6.63,,38.3,30.5,6.82,227.485,,32605.906,11.58,19.027,43.3,137.176,82.41
DEU,83369840.0,81.33,8.0,,33.1,28.2,8.31,156.139,,45229.245,15.957,21.453,46.6,237.016,85.19
DJI,1120851.0,67.11,1.4,,24.5,1.7,6.05,258.037,22.5,2705.406,2.38,4.213,25.4,41.285,94.44
DMA,72758.0,75.0,3.8,,,,11.62,227.376,,9673.367,,,,98.567,79.63
DNK,5882259.0,80.9,2.5,,18.8,19.3,6.41,114.767,0.2,46682.515,12.325,19.677,42.3,136.52,72.22
DOM,11228821.0,74.08,1.6,55.182,19.1,8.5,8.2,266.653,1.6,14600.861,4.419,6.981,27.6,222.873,100.0
DZA,44903228.0,76.88,1.9,83.741,30.4,0.7,6.73,278.364,0.5,13913.839,3.857,6.211,29.1,17.348,92.13
ECU,18001002.0,77.01,1.5,80.635,12.3,2.0,5.55,140.448,3.6,10581.936,4.458,7.104,28.1,66.939,93.52
EGY,110990096.0,71.99,1.6,89.827,50.1,0.2,17.31,525.432,1.3,10550.206,2.891,5.159,25.3,97.999,87.96
ERI,3684041.0,66.32,0.7,,11.4,0.2,6.05,311.11,,1510.459,2.171,3.607,19.3,44.304,
ESH,576005.0,70.26,,,,,,,,,1.38,,28.4,,
ESP,47558632.0,83.56,2.97,,31.4,27.4,7.17,99.403,1.0,34272.36,13.799,19.436,45.5,93.105,85.19
EST,1326064.0,78.74,4.69,,39.3,24.5,4.02,255.569,0.5,29481.252,13.491,19.452,42.7,31.033,77.78
ETH,123379928.0,66.6,0.3,7.96,8.5,0.4,7.47,182.634,26.7,1729.927,2.063,3.526,19.8,104.957,80.56
FIN,5540745.0,81.91,3.28,,22.6,18.3,5.76,153.507,,40585.721,13.264,21.228,42.8,18.136,71.3
FJI,929769.0,67.44,2.3,,34.8,10.2,14.49,412.82,1.4,8702.975,3.284,6.224,28.6,49.562,92.18
FLK,3801.0,81.44,,,,,,,,,,,,,
FRA,67813000.0,82.66,5.98,,35.6,30.1,4.77,86.06,,38605.671,13.079,19.718,42.0,122.578,87.96
FRO,53117.0,80.67,,,,,,,,,,,,35.308,60.19
FSM,114178.0,67.88,,,,,12.02,454.343,16.0,3299.464,2.392,4.81,23.0,150.777,
GAB,2388997.0,66.47,6.3,,,,7.2,259.967,3.4,16562.413,2.976,4.45,23.1,7.859,84.26
GBR,67508936.0,81.32,2.54,,24.7,20.0,4.28,122.137,0.2,39753.244,12.527,18.517,40.8,272.898,87.96
GEO,3744385.0,73.77,2.6,,55.5,5.3,7.11,496.218,4.2,9745.079,10.244,14.864,38.7,65.032,100.0
GGY,63329.0,,,,,,,,,,,,,,
GHA,33475870.0,64.07,0.9,41.047,7.7,0.3,4.97,298.245,12.0,4227.63,1.948,3.385,21.1,126.719,84.26
GIB,32677.0,79.93,,,,,,,,,,,,3457.1,
GIN,13859349.0,61.6,0.3,17.45,,,2.42,336.717,35.3,1998.926,1.733,3.135,19.0,51.755,80.56
GLP,395762.0,82.14,,,,,,,,,,,43.4,,
GMB,2705995.0,62.05,1.1,7.876,31.2,0.7,1.91,331.43,10.1,1561.767,1.417,2.339,17.5,207.566,83.33
GNB,2105580.0,58.32,,6.403,,,2.42,382.474,67.1,1548.675,1.565,3.002,19.4,66.191,
GNQ,1674916.0,58.74,2.1,24.64,,,7.78,202.812,,22604.873,1.752,2.846,22.4,45.194,
GRC,10384972.0,82.24,4.21,,52.0,35.3,4.55,175.695,1.5,24574.382,14.524,20.396,45.3,83.479,88.89
GRD,125459.0,72.4,3.7,,,,10.71,243.964,,13593.877,5.021,7.304,29.4,317.132,29.52
GRL,56494.0,71.7,,,,,2.16,199.941,,,,,,0.137,77.78
GTM,17843914.0,74.3,0.6,76.665,,,10.18,155.898,8.7,7423.808,3.016,4.694,22.9,157.834,96.3
GUF,304568.0,79.95,,,,,,,,,2.897,,25.3,,
GUM,171783.0,80.07,,,,,21.52,310.496,,,5.493,9.551,31.4,304.128,
